k,answer,count,coverage
1,no,607,0.27049910873440286
2,yes,585,0.5311942959001783
3,axial,43,0.5503565062388592
4,right,26,0.5619429590017825
5,left,19,0.5704099821746881
6,pa,15,0.5770944741532977
7,ct,13,0.5828877005347594
8,brain,13,0.588680926916221
9,xray,11,0.5935828877005348
10,fat,9,0.5975935828877005
11,mri,8,0.6011586452762924
12,one,8,0.6047237076648841
13,right side,8,0.6082887700534759
14,with contrast,7,0.6114081996434938
15,bilateral,7,0.6145276292335116
16,diffuse,7,0.6176470588235294
17,right lung,7,0.6207664884135472
18,right upper lobe,7,0.6238859180035651
19,pancreas,6,0.6265597147950089
20,flair,6,0.6292335115864528
21,right sided pleural effusion,6,0.6319073083778967
22,56cm focal predominantly hypodense,6,0.6345811051693404
23,lateral ventricles,6,0.6372549019607843
24,left kidney,6,0.6399286987522281
25,female,6,0.642602495543672
26,contrast,5,0.6448306595365418
27,right temporal lobe,5,0.6470588235294118
28,t2 weighted,5,0.6492869875222816
29,abscess,5,0.6515151515151515
30,ribs,5,0.6537433155080213
31,air,5,0.6559714795008913
32,chest xray,5,0.6581996434937611
33,right frontal lobe,5,0.660427807486631
34,hyperintense,4,0.6622103386809269
35,mriflair,4,0.6639928698752228
36,mr flair,4,0.6657754010695187
37,calcification,4,0.6675579322638147
38,pleural effusion,4,0.6693404634581105
39,chest,4,0.6711229946524064
40,infarct,4,0.6729055258467023
41,oral and iv,4,0.6746880570409982
42,subarachnoid,4,0.6764705882352942
43,gi,4,0.67825311942959
44,right lobe of the liver,4,0.6800356506238859
45,ringenhancing lesion,4,0.6818181818181818
46,retrocardiac,4,0.6836007130124777
47,not sure,4,0.6853832442067737
48,cerebellum,4,0.6871657754010695
49,enlarged,4,0.6889483065953654
50,left side,4,0.6907308377896613
51,white matter,4,0.6925133689839572
52,ring enhancing lesion,4,0.6942959001782532
53,4th ventricle,4,0.696078431372549
54,right cerebellum,4,0.6978609625668449
55,dwi,4,0.6996434937611408
56,hemorrhage,3,0.7009803921568627
57,heterogeneous,3,0.7023172905525846
58,hydropneumothorax,3,0.7036541889483066
59,stomach,3,0.7049910873440285
60,normal,3,0.7063279857397504
61,basal ganglia,3,0.7076648841354723
62,mri t2 weighted,3,0.7090017825311943
63,cystic,3,0.7103386809269162
64,calcifications,3,0.7116755793226381
65,vascular,3,0.7130124777183601
66,hypodense,3,0.714349376114082
67,bilateral lungs,3,0.7156862745098039
68,pulmonary nodules,3,0.7170231729055259
69,gallstones,3,0.7183600713012478
70,cystic lesions,3,0.7196969696969697
71,right hemisphere,3,0.7210338680926917
72,kidneys,3,0.7223707664884136
73,the liver,3,0.7237076648841355
74,coronal,3,0.7250445632798574
75,t2,3,0.7263814616755794
76,left cerebellum,3,0.7277183600713012
77,abnormal,3,0.7290552584670231
78,middle mogul,3,0.7303921568627451
79,pineal region,2,0.7312834224598931
80,bilateral frontal lobes,2,0.732174688057041
81,right colon,2,0.7330659536541889
82,isointense,2,0.733957219251337
83,micronodular,2,0.7348484848484849
84,left rectus abdominus,2,0.7357397504456328
85,nipple location,2,0.7366310160427807
86,bilateral frontal lobes and body of corpus callosum,2,0.7375222816399287
87,distal basilar artery,2,0.7384135472370766
88,suprasellar,2,0.7393048128342246
89,ascites,2,0.7401960784313726
90,right kidney,2,0.7410873440285205
91,mr t2 weighted,2,0.7419786096256684
92,fatty infiltration,2,0.7428698752228164
93,jejunum,2,0.7437611408199644
94,mr adc map,2,0.7446524064171123
95,nodules,2,0.7455436720142602
96,descending colon,2,0.7464349376114082
97,thalami left occipital lobe brainstem and left cerebellum,2,0.7473262032085561
98,spleen,2,0.7482174688057041
99,2,2,0.7491087344028521
100,in the bowels,2,0.75
101,plain film xray,2,0.7508912655971479
102,nonenhanced,2,0.7517825311942959
103,ap,2,0.7526737967914439
104,mid abdomen,2,0.7535650623885918
105,sigmoid flexture of the colon,2,0.7544563279857398
106,underneath the right hemidiaphragm,2,0.7553475935828877
107,posterior fossa,2,0.7562388591800356
108,right sylvian fissure,2,0.7571301247771836
109,right subclavian vein,2,0.7580213903743316
110,diverticuli,2,0.7589126559714795
111,psoas major muscle,2,0.7598039215686274
112,aorta,2,0.7606951871657754
113,right subdural hematoma,2,0.7615864527629234
114,appendix,2,0.7624777183600713
115,hepatocellular carcioma,2,0.7633689839572193
116,punctate,2,0.7642602495543672
117,central hyperintensity and surrounding hypointensity,2,0.7651515151515151
118,there is massive cerebral hemisphere edema,2,0.766042780748663
119,left thalamus,2,0.7669340463458111
120,small subdural hematoma with cerebral edema,2,0.767825311942959
121,adjacent to the appendix,2,0.7687165775401069
122,left mca,2,0.7696078431372549
123,ms plaques,2,0.7704991087344029
124,peritoneum,2,0.7713903743315508
125,multiple sclerosis,2,0.7722816399286988
126,cerebrum and lateral ventricles,2,0.7731729055258467
127,right convexity,2,0.7740641711229946
128,abnormal hyperintensity in the right occipital lobe,2,0.7749554367201426
129,pneumonia,2,0.7758467023172906
130,hyperintensity of the left basal ganglia,2,0.7767379679144385
131,partial silhouetting,2,0.7776292335115864
132,splenule,2,0.7785204991087344
133,necrosis,2,0.7794117647058824
134,posteriorly,2,0.7803030303030303
135,ureteral obstruction,2,0.7811942959001783
136,psoas muscles,2,0.7820855614973262
137,abcess,2,0.7829768270944741
138,right mca,2,0.783868092691622
139,a catheter,2,0.7847593582887701
140,in the cortex and basal ganglia bilaterally,2,0.785650623885918
141,left lobe mass 15 x 18 cm,2,0.7865418894830659
142,nephroblastomatosis,2,0.7874331550802139
143,haustra,2,0.7883244206773619
144,maybe,2,0.7892156862745098
145,pleural plaques,2,0.7901069518716578
146,gray matter,2,0.7909982174688057
147,csf is white,2,0.7918894830659536
148,left hepatic lobe,2,0.7927807486631016
149,paratracheal area,2,0.7936720142602496
150,bilateral pleural effusion,2,0.7945632798573975
151,basal ganglia caudate and putamen,2,0.7954545454545454
152,cardiopulmonary,2,0.7963458110516934
153,semiupright position,2,0.7972370766488414
154,sharp costophrenic angles,2,0.7981283422459893
155,right parietal,2,0.7990196078431373
156,horsehoe kidney,2,0.7999108734402852
157,blunting of the costophrenic angle loss of the right hemidiaphragm and right heart border,2,0.8008021390374331
158,increased opacity in the left retrocardiac region,2,0.801693404634581
159,cirrhosis,2,0.8025846702317291
160,right paratracheal mass lesion,2,0.803475935828877
161,it is enlarged with prominence of the aortic knob,2,0.8043672014260249
162,shrunken and nodular,2,0.8052584670231729
163,atherosclerotic calcification,2,0.8061497326203209
164,cortical ribbon of right occipital lobe with extension into right posterior temporal lobe,2,0.8070409982174688
165,12,2,0.8079322638146168
166,nucleus pulposus,2,0.8088235294117647
167,right parietal lobe,2,0.8097147950089126
168,metastasis,2,0.8106060606060606
169,volume loss,2,0.8114973262032086
170,prior surgery,2,0.8123885918003565
171,right superior cavoatrial junction,2,0.8132798573975044
172,ischemia,2,0.8141711229946524
173,suprasellar cistern,2,0.8150623885918004
174,5 cm,2,0.8159536541889483
175,small bowel,2,0.8168449197860963
176,left temporal lobe,2,0.8177361853832442
177,both,2,0.8186274509803921
178,less dense,2,0.81951871657754
179,gastrointestinal,2,0.8204099821746881
180,right lower lobe,2,0.821301247771836
181,7th rib,2,0.8221925133689839
182,right lung base,2,0.8230837789661319
183,right lobe,2,0.8239750445632799
184,solid,2,0.8248663101604278
185,large bowel,2,0.8257575757575758
186,medical process,2,0.8266488413547237
187,moderate edema,2,0.8275401069518716
188,anterior to the transverse colon,2,0.8284313725490197
189,ring enhancing lesion in the left occipital lobe,2,0.8293226381461676
190,parietal and occipital lobes,2,0.8302139037433155
191,pres,2,0.8311051693404634
192,cns,2,0.8319964349376114
193,cecum,2,0.8328877005347594
194,mass,2,0.8337789661319073
195,left apical pneumothorax,2,0.8346702317290553
196,cardiomegaly,2,0.8355614973262032
197,sternotomy wires and surgical clips,2,0.8364527629233511
198,xray plain film,2,0.8373440285204992
199,the left kidney,2,0.8382352941176471
200,medial rectus,2,0.839126559714795
201,loculated,2,0.8400178253119429
202,chest x ray,2,0.8409090909090909
203,medial and lateral rectus,2,0.8418003565062389
204,pineal gland,2,0.8426916221033868
205,cardiac region,2,0.8435828877005348
206,left parietal lobe,2,0.8444741532976827
207,sternal wires,2,0.8453654188948306
208,right sided aortic arch,2,0.8462566844919787
209,asymmetric,2,0.8471479500891266
210,sella and suprasellar cistern,2,0.8480392156862745
211,oculomotor nerve cn iii and trigeminal nerves cn v,2,0.8489304812834224
212,pa xray,2,0.8498217468805704
213,right lateral ventricle,2,0.8507130124777184
214,upper lobes,2,0.8516042780748663
215,air fluid level,2,0.8524955436720143
216,intestine,2,0.8533868092691622
217,stomach bubble,2,0.8542780748663101
218,sulcal effacement,2,0.8551693404634582
219,temporal lobe,2,0.8560606060606061
220,left occipital lobe,2,0.856951871657754
221,elliptical,2,0.8578431372549019
222,smooth,2,0.8587344028520499
223,left temporal horn,2,0.8596256684491979
224,ringenhancing,2,0.8605169340463458
225,right side of the trachea,2,0.8614081996434938
226,abdomen and pelvis,2,0.8622994652406417
227,mid left subclavian vein,2,0.8631907308377896
228,cardiomegaly with pulmonary edema,2,0.8640819964349377
229,head of the pancreas,2,0.8649732620320856
230,ivc,2,0.8658645276292335
231,r frontal lobe,2,0.8667557932263814
232,right lower lateral lung field,2,0.8676470588235294
233,34 cm,2,0.8685383244206774
234,left thalamus and basal ganglia,2,0.8694295900178253
235,basilar artery,2,0.8703208556149733
236,right cerebellopontine angle,2,0.8712121212121212
237,adipose tissue,2,0.8721033868092691
238,csf,2,0.8729946524064172
239,hydrocephalus,2,0.8738859180035651
240,maxillary sinuses,2,0.874777183600713
241,lateral and third ventricular hydrocephalus,2,0.8756684491978609
242,diverticulitis,2,0.8765597147950089
243,left aca and mca,2,0.8774509803921569
244,kidney cyst,2,0.8783422459893048
245,anterior mediastinum,2,0.8792335115864528
246,free air,2,0.8801247771836007
247,motion,2,0.8810160427807486
248,calcified atherosclerosis,2,0.8819073083778967
249,soft tissue mass in the region of the terminal ileum with mesenteric lymphadenopathy,2,0.8827985739750446
250,cavum vergae,2,0.8836898395721925
251,hypodense lesion,2,0.8845811051693404
252,appendicitis,2,0.8854723707664884
253,proximal aspect of the appendix,2,0.8863636363636364
254,nodular opacities,2,0.8872549019607843
255,cardiovascular,1,0.8877005347593583
256,blind loop syndrome,1,0.8881461675579323
257,blindending loop of bowel arising from the cecum,1,0.8885918003565062
258,mridwi,1,0.8890374331550802
259,iv contrast,1,0.8894830659536542
260,anterior cerebrum,1,0.8899286987522281
261,anterior surface,1,0.8903743315508021
262,pericholecystic fluid,1,0.8908199643493762
263,vasculature,1,0.8912655971479501
264,adjacent to vertebrae,1,0.8917112299465241
265,hip bones,1,0.8921568627450981
266,multilobulated,1,0.892602495543672
267,temporal and lateral occipital lobes,1,0.893048128342246
268,mixed intensity,1,0.89349376114082
269,on the left,1,0.8939393939393939
270,4,1,0.8943850267379679
271,acute stroke,1,0.8948306595365418
272,decreased muscle bulk,1,0.8952762923351159
273,65 x 62 x 88cm,1,0.8957219251336899
274,right vertebral artery sign,1,0.8961675579322638
275,5cm,1,0.8966131907308378
276,r hemidiaphragm,1,0.8970588235294118
277,almost entire right side,1,0.8975044563279857
278,fluid,1,0.8979500891265597
279,in the vasculature,1,0.8983957219251337
280,pons,1,0.8988413547237076
281,necrotic tissue,1,0.8992869875222816
282,midline,1,0.8997326203208557
283,breasts,1,0.9001782531194296
284,double arch,1,0.9006238859180036
285,emphysema,1,0.9010695187165776
286,reduced sulci,1,0.9015151515151515
287,black,1,0.9019607843137255
288,male,1,0.9024064171122995
289,bilateral parietal lobes,1,0.9028520499108734
290,chronic sinusitis vs hemorrhage,1,0.9032976827094474
291,white matter plaques,1,0.9037433155080213
292,short section irregular contour,1,0.9041889483065954
293,mri diffusion weighted,1,0.9046345811051694
294,basilar artery thrombosis,1,0.9050802139037433
295,in the bowel,1,0.9055258467023173
296,gadolinium,1,0.9059714795008913
297,in the midline,1,0.9064171122994652
298,radiolucent,1,0.9068627450980392
299,hypointense,1,0.9073083778966132
300,chest radiograph,1,0.9077540106951871
301,the brain,1,0.9081996434937611
302,base,1,0.9086452762923352
303,lower lung fields,1,0.9090909090909091
304,posterior to the gastric antrum,1,0.9095365418894831
305,noncontrast,1,0.9099821746880571
306,portal vein occlusion,1,0.910427807486631
307,portal vein,1,0.910873440285205
308,nothing,1,0.911319073083779
309,all three vascular distributions,1,0.9117647058823529
310,the lungs,1,0.9122103386809269
311,headneck ct,1,0.9126559714795008
312,biopsy,1,0.9131016042780749
313,metastases infectionabcess glioblastoma,1,0.9135472370766489
314,toxoplasma lymphoma abscesses other brain tumors,1,0.9139928698752228
315,cancer,1,0.9144385026737968
316,lentiform,1,0.9148841354723708
317,biconvex,1,0.9153297682709447
318,epidural hematoma,1,0.9157754010695187
319,sinusitis,1,0.9162210338680927
320,viral,1,0.9166666666666666
321,parasitic,1,0.9171122994652406
322,if the heart diameter is greater than half the diameter of the thoracic cavity,1,0.9175579322638147
323,ct ratio,1,0.9180035650623886
324,bronchiectasis,1,0.9184491978609626
325,thickening of bronchi,1,0.9188948306595366
326,csf is brightly lit,1,0.9193404634581105
327,aorta enhancement,1,0.9197860962566845
328,costophrenic angle blunting,1,0.9202317290552585
329,fluid in the pleural space,1,0.9206773618538324
330,aorta is bright,1,0.9211229946524064
331,enhancement of vessels,1,0.9215686274509803
332,genetic,1,0.9220142602495544
333,crescent,1,0.9224598930481284
334,concave,1,0.9229055258467023
335,quadrantopia aphasia memory deficit etc,1,0.9233511586452763
336,motor weakness sensory deficits and left neglect,1,0.9237967914438503
337,viralinflammatory,1,0.9242424242424242
338,cva,1,0.9246880570409982
339,pituitary fossa,1,0.9251336898395722
340,location of the contrast,1,0.9255793226381461
341,ruq pain jaundiceweight loss,1,0.9260249554367201
342,abdominal pain,1,0.9264705882352942
343,trace the gallbladder emptying,1,0.9269162210338681
344,cystic duct is more tortuous,1,0.9273618538324421
345,tumors gallstones,1,0.9278074866310161
346,stones cancer infection anatomic variants,1,0.92825311942959
347,plicae circulares,1,0.928698752228164
348,more acute means more inflammationleading to enhancement,1,0.929144385026738
349,less enhancement,1,0.9295900178253119
350,white versus grey matter brightness,1,0.9300356506238859
351,adenopathy,1,0.93048128342246
352,infection,1,0.9309269162210339
353,5,1,0.9313725490196079
354,rounded welldefined pulmonary nodules varying in size and pattern,1,0.9318181818181818
355,lungs,1,0.9322638146167558
356,posterior lung seen in the image section,1,0.9327094474153298
357,pneumothorax,1,0.9331550802139037
358,both sides,1,0.9336007130124777
359,exterior,1,0.9340463458110517
360,outside,1,0.9344919786096256
361,wellcircumscribed,1,0.9349376114081996
362,exophytic cyst,1,0.9353832442067737
363,infarcts,1,0.9358288770053476
364,embolus,1,0.9362745098039216
365,irregular,1,0.9367201426024956
366,infiltrative,1,0.9371657754010695
367,on top of the patient,1,0.9376114081996435
368,superficial to the patients skin,1,0.9380570409982175
369,extraluminal air and small fluid collection,1,0.9385026737967914
370,extraaxial and at the right choroidal fissure,1,0.9389483065953654
371,enlarged fluidfilled,1,0.9393939393939394
372,pancreatic body,1,0.9398395721925134
373,right pca,1,0.9402852049910874
374,above,1,0.9407308377896613
375,4th and 5th,1,0.9411764705882353
376,t5,1,0.9416221033868093
377,less than half the thorax,1,0.9420677361853832
378,superior,1,0.9425133689839572
379,high on the image,1,0.9429590017825312
380,periappendiceal fluid and fat stranding,1,0.9434046345811051
381,heart lungs,1,0.9438502673796791
382,more dense,1,0.9442959001782532
383,surrounding tissue,1,0.9447415329768271
384,the surrounding tissue,1,0.9451871657754011
385,ultrasound,1,0.9456327985739751
386,in the thorasic aorta,1,0.946078431372549
387,width of aorta,1,0.946524064171123
388,left lung,1,0.946969696969697
389,edematous,1,0.9474153297682709
390,right lung hilum,1,0.9478609625668449
391,left hemisphere,1,0.948306595365419
392,pacemaker,1,0.9487522281639929
393,in the right hilum,1,0.9491978609625669
394,upper right lobe,1,0.9496434937611408
395,contrast in the intestines,1,0.9500891265597148
396,left upper lobe,1,0.9505347593582888
397,lung,1,0.9509803921568627
398,imaging artifacts,1,0.9514260249554367
399,posteroanterior,1,0.9518716577540107
400,it is shifted to the right,1,0.9523172905525846
401,occipital lobe,1,0.9527629233511586
402,a bit,1,0.9532085561497327
403,the posterior horn of the left lateral ventricle,1,0.9536541889483066
404,infarcted areas,1,0.9540998217468806
405,just one,1,0.9545454545454546
406,fat accumulations,1,0.9549910873440285
407,scoliosis,1,0.9554367201426025
408,1020 minutes,1,0.9558823529411765
409,lungs bony thoracic cavit y mediastinum and great vessels,1,0.9563279857397504
410,retroperitoneum retroperitoneal space,1,0.9567736185383244
411,15 minutes potentially faster with newer imaging systems,1,0.9572192513368984
412,the extremities,1,0.9576648841354723
413,cxr,1,0.9581105169340464
414,flair mri,1,0.9585561497326203
415,left lateral aspect of anterior peritoneum,1,0.9590017825311943
416,left mid lung,1,0.9594474153297683
417,fat stranding around the appendix thickened appendiceal walls dilated appendix and an appendicolith is seen as well,1,0.9598930481283422
418,ring enhancing lesion in the right frontal lobe,1,0.9603386809269162
419,right lenticular nucleus,1,0.9607843137254902
420,3rd rib,1,0.9612299465240641
421,respiratory system,1,0.9616755793226381
422,the abdomen,1,0.9621212121212122
423,omental caking,1,0.9625668449197861
424,diffusion weighted imaging dwi,1,0.9630124777183601
425,the right frontal lobe,1,0.9634581105169341
426,the pancreas,1,0.963903743315508
427,contrast ct with gi and iv contrast,1,0.964349376114082
428,the left costophrenic angle is blunted,1,0.964795008912656
429,noncontrast ct,1,0.9652406417112299
430,the left occipital lobe,1,0.9656862745098039
431,ct with gi and iv contrast,1,0.966131907308378
432,the aorta,1,0.9665775401069518
433,the aorta and the inferior vena cava,1,0.9670231729055259
434,imagine the patient is laying down and you are looking from the feet,1,0.9674688057040999
435,bowel contents light up on image,1,0.9679144385026738
436,congenital developmental disorder history of surgery and past manipulation,1,0.9683600713012478
437,respiratory cardia c musculoskeletal,1,0.9688057040998217
438,bilateral cerebellum,1,0.9692513368983957
439,mri t1 weighted,1,0.9696969696969697
440,choroid plexus,1,0.9701426024955436
441,cartilage is not well viewed by x rays,1,0.9705882352941176
442,lung markings present all the way laterally to the ribs,1,0.9710338680926917
443,the right mainstem bronchus is more in line with the trachea than the left,1,0.9714795008912656
444,right pica,1,0.9719251336898396
445,l2,1,0.9723707664884136
446,l23,1,0.9728163992869875
447,lateral film as well as pa,1,0.9732620320855615
448,varicocele,1,0.9737076648841355
449,posterior brain,1,0.9741532976827094
450,hypoxic ischemic injury,1,0.9745989304812834
451,loss of normal graywhite matter junction,1,0.9750445632798574
452,below the 7th rib in the right lung,1,0.9754901960784313
453,single lung nodule,1,0.9759358288770054
454,not seen here,1,0.9763814616755794
455,smaller,1,0.9768270944741533
456,skull cartilage and medulla,1,0.9772727272727273
457,the right bronchus,1,0.9777183600713012
458,the small intestines,1,0.9781639928698752
459,the diaphragm,1,0.9786096256684492
460,ct with contrast,1,0.9790552584670231
461,supratentorial,1,0.9795008912655971
462,t2mri,1,0.9799465240641712
463,pulmonarylymphatic,1,0.9803921568627451
464,the pancreatic head,1,0.9808377896613191
465,t2 weighted mri,1,0.9812834224598931
466,the base of the cecum,1,0.981729055258467
467,axial plane,1,0.982174688057041
468,the 3rd ventricle and the lateral ventricles,1,0.982620320855615
469,abdomen,1,0.9830659536541889
470,regression of left frontal mass,1,0.9835115864527629
471,coronal plane,1,0.983957219251337
472,right posteroinferior cerebellum,1,0.9844028520499108
473,bleeding in the right posteroinferior cerebellum,1,0.9848484848484849
474,supine see airfluid level,1,0.9852941176470589
475,gallbladder,1,0.9857397504456328
476,lying supine with their feet towards the screen,1,0.9861853832442068
477,sacroiliac joint,1,0.9866310160427807
478,right vs left sided pathology,1,0.9870766488413547
479,intestines,1,0.9875222816399287
480,posterioranterior,1,0.9879679144385026
481,caudate putamen left parietal,1,0.9884135472370766
482,diaphragm,1,0.9888591800356507
483,xr,1,0.9893048128342246
484,upper left,1,0.9897504456327986
485,mucosal hyperemia,1,0.9901960784313726
486,ascending colon,1,0.9906417112299465
487,mediport,1,0.9910873440285205
488,5mm,1,0.9915329768270945
489,plain film,1,0.9919786096256684
490,frontal and occipital,1,0.9924242424242424
491,basal ganglia cerebellum cerebral cortex,1,0.9928698752228164
492,early hemorrhage,1,0.9933155080213903
493,on the patients left,1,0.9937611408199644
494,dwi diffusion weighted,1,0.9942067736185384
495,right of the midline superior to the right hilum,1,0.9946524064171123
496,25cm x 17cm x 16cm,1,0.9950980392156863
497,mrflair,1,0.9955436720142602
498,hyperinflation,1,0.9959893048128342
499,t2weighted,1,0.9964349376114082
500,ringenhancing lesions,1,0.9968805704099821
501,it is less than half the width of the thorax,1,0.9973262032085561
502,blood vessel,1,0.9977718360071302
503,above the clavicles bilaterally,1,0.9982174688057041
504,posterior to the appendix,1,0.9986631016042781
505,psoas muscle,1,0.9991087344028521
506,on the right shoulder,1,0.999554367201426
507,a bullous lesion,1,1.0
